PERIOD,BIN_INDEX,POSTERIOR
P1,0,0.0333
P1,1,0.0333
P1,2,0.0333
P1,3,0.0333
P1,4,0.0333
P1,5,0.0333
P1,6,0.0333
P1,7,0.0333
P1,8,0.0333
P1,9,0.0333
P1,10,0.0333
P1,11,0.0333
P1,12,0.0333
P1,13,0.0333
P1,14,0.0333
P1,15,0.0333
P1,16,0.0333
P1,17,0.0333
P1,18,0.0333
P1,19,0.0333
P1,20,0.0333
P1,21,0.0333
P1,22,0.0333
P1,23,0.0333
P1,24,0.0333
P1,25,0.0333
P1,26,0.0333
P1,27,0.0333
P1,28,0.0333
P1,29,0.0343
P2,0,0.0333
P2,1,0.0333
P2,2,0.0333
P2,3,0.0333
P2,4,0.0333
P2,5,0.0333
P2,6,0.0333
P2,7,0.0333
P2,8,0.0333
P2,9,0.0333
P2,10,0.0333
P2,11,0.0333
P2,12,0.0333
P2,13,0.0333
P2,14,0.0333
P2,15,0.0333
P2,16,0.0333
P2,17,0.0333
P2,18,0.0333
P2,19,0.0333
P2,20,0.0333
P2,21,0.0333
P2,22,0.0333
P2,23,0.0333
P2,24,0.0333
P2,25,0.0333
P2,26,0.0333
P2,27,0.0333
P2,28,0.0333
P2,29,0.0343
P3,0,0.0333
P3,1,0.0333
P3,2,0.0333
P3,3,0.0333
P3,4,0.0333
P3,5,0.0333
P3,6,0.0333
P3,7,0.0333
P3,8,0.0333
P3,9,0.0333
P3,10,0.0333
P3,11,0.0333
P3,12,0.0333
P3,13,0.0333
P3,14,0.0333
P3,15,0.0333
P3,16,0.0333
P3,17,0.0333
P3,18,0.0333
P3,19,0.0333
P3,20,0.0333
P3,21,0.0333
P3,22,0.0333
P3,23,0.0333
P3,24,0.0333
P3,25,0.0333
P3,26,0.0333
P3,27,0.0333
P3,28,0.0333
P3,29,0.0343
P4,0,0.0333
P4,1,0.0333
P4,2,0.0333
P4,3,0.0333
P4,4,0.0333
P4,5,0.0333
P4,6,0.0333
P4,7,0.0333
P4,8,0.0333
P4,9,0.0333
P4,10,0.0333
P4,11,0.0333
P4,12,0.0333
P4,13,0.0333
P4,14,0.0333
P4,15,0.0333
P4,16,0.0333
P4,17,0.0333
P4,18,0.0333
P4,19,0.0333
P4,20,0.0333
P4,21,0.0333
P4,22,0.0333
P4,23,0.0333
P4,24,0.0333
P4,25,0.0333
P4,26,0.0333
P4,27,0.0333
P4,28,0.0333
P4,29,0.0343
P5,0,0.0333
P5,1,0.0333
P5,2,0.0333
P5,3,0.0333
P5,4,0.0333
P5,5,0.0333
P5,6,0.0333
P5,7,0.0333
P5,8,0.0333
P5,9,0.0333
P5,10,0.0333
P5,11,0.0333
P5,12,0.0333
P5,13,0.0333
P5,14,0.0333
P5,15,0.0333
P5,16,0.0333
P5,17,0.0333
P5,18,0.0333
P5,19,0.0333
P5,20,0.0333
P5,21,0.0333
P5,22,0.0333
P5,23,0.0333
P5,24,0.0333
P5,25,0.0333
P5,26,0.0333
P5,27,0.0333
P5,28,0.0333
P5,29,0.0343
