TMNL_ID,CHECKED_ISLAND,DG_1,DG_2,DG_3,DG_4,DG_5,DG_6
T1,A,0,0.734265,0.181292,0.05551,0.028933,0
T1,B,0,0.734265,0.181292,0.05551,0.028933,0
T1,C,0,0.5830675,0.3150345,0.0773,0.024548,0
T1,D,0,0.61137,0.287166,0.087733,0.013731,0
T1,E,0,0.507664,0.328516,0.144102,0.019718,0
T1,F,0,0.1220505,0.6729895,0.161512,0.043448,0
T1,G,0,0.023,0.687,0.21,0.08,0
T1,H,0,0.0323965,0.111765,0.743299,0.1124895,0
T1,J,0,0.0195535,0.060431,0.583505,0.3365105,0
T1,K,0,0.0211035,0.059334,0.3973645,0.522198,0
T1,L,0,0.0163735,0.0549915,0.150686,0.777899,0
T1,M,0,0.020761,0.064955,0.151579,0.762605,0
T1,N,0,0.020761,0.064955,0.151579,0.762705,0
T2,A,0.975,0.025,0,0,0,0
T2,B,0.889,0.111,0,0,0,0
T2,C,0.71,0.29,0,0,0,0
T2,D,0.584,0.416,0,0,0,0
T2,E,0.416,0.584,0,0,0,0
T2,F,0.29,0.71,0,0,0,0
T2,G,0.111,0.889,0,0,0,0
T2,H,0.025,0.975,0,0,0,0
