PERIOD,BIN_INDEX,POSTERIOR
P1,0,0
P1,1,0
P1,2,0.0001
P1,3,0.0002
P1,4,0.0004
P1,5,0.0006
P1,6,0.0012
P1,7,0.0018
P1,8,0.0027
P1,9,0.0031
P1,10,0.0046
P1,11,0.0074
P1,12,0.0127
P1,13,0.025
P1,14,0.04
P1,15,0.062
P1,16,0.0848
P1,17,0.11
P1,18,0.1222
P1,19,0.1286
P1,20,0.1249
P1,21,0.1053
P1,22,0.076
P1,23,0.049
P1,24,0.0247
P1,25,0.0071
P1,26,0.0023
P1,27,0.0014
P1,28,0.0019
P1,29,0
P2,0,0.0002
P2,1,0.0004
P2,2,0.0006
P2,3,0.0008
P2,4,0.0014
P2,5,0.0024
P2,6,0.0036
P2,7,0.0053
P2,8,0.0076
P2,9,0.0124
P2,10,0.019
P2,11,0.0259
P2,12,0.0335
P2,13,0.0433
P2,14,0.0586
P2,15,0.0741
P2,16,0.0921
P2,17,0.1068
P2,18,0.1175
P2,19,0.1145
P2,20,0.0998
P2,21,0.0763
P2,22,0.0512
P2,23,0.0284
P2,24,0.013
P2,25,0.0052
P2,26,0.0031
P2,27,0.0014
P2,28,0.0016
P2,29,0
P3,0,0.001
P3,1,0.0016
P3,2,0.0022
P3,3,0.0032
P3,4,0.0045
P3,5,0.0059
P3,6,0.0078
P3,7,0.0111
P3,8,0.018
P3,9,0.0272
P3,10,0.0293
P3,11,0.032
P3,12,0.0389
P3,13,0.0508
P3,14,0.0651
P3,15,0.0802
P3,16,0.0952
P3,17,0.1072
P3,18,0.1084
P3,19,0.0984
P3,20,0.0817
P3,21,0.0563
P3,22,0.0361
P3,23,0.0196
P3,24,0.0099
P3,25,0.0045
P3,26,0.0016
P3,27,0.0012
P3,28,0.0011
P3,29,0
P4,0,0.0031
P4,1,0.0031
P4,2,0.0034
P4,3,0.004
P4,4,0.0045
P4,5,0.0052
P4,6,0.0063
P4,7,0.0083
P4,8,0.0105
P4,9,0.0134
P4,10,0.0193
P4,11,0.0283
P4,12,0.0399
P4,13,0.0534
P4,14,0.07
P4,15,0.0835
P4,16,0.0945
P4,17,0.1073
P4,18,0.1075
P4,19,0.0982
P4,20,0.0914
P4,21,0.0603
P4,22,0.0388
P4,23,0.0244
P4,24,0.0125
P4,25,0.0042
P4,26,0.0015
P4,27,0.0021
P4,28,0.0011
P4,29,0
P5,0,0.0039
P5,1,0.0045
P5,2,0.0054
P5,3,0.0065
P5,4,0.008
P5,5,0.0101
P5,6,0.0126
P5,7,0.0156
P5,8,0.0194
P5,9,0.024
P5,10,0.03
P5,11,0.0381
P5,12,0.048
P5,13,0.0611
P5,14,0.0746
P5,15,0.0852
P5,16,0.0932
P5,17,0.0942
P5,18,0.0894
P5,19,0.0762
P5,20,0.0945
P5,21,0.0429
P5,22,0.0279
P5,23,0.0172
P5,24,0.0095
P5,25,0.0037
P5,26,0.0012
P5,27,0.0013
P5,28,0.0018
P5,29,0
