표준단어명	영문약어명
10분	MI10
10분전	BEF10
1년	YR1
1시간전	BEF1H
1차감시레이더	PSR
1층	FL1
1회섭취참고량	RAFOS
1회전	RTATE1
20대	TWNTS
20분전	BEF20
20세이하	U20
2단계	STEP2
2분	MI2
2차감시레이더	SSR
2층	FL2
30대	THRTS
30분전	BEF30
33제어소	CP33
3시간전	BEF3H
3층	FL3
40대	FORTS
40분전	BEF40
4층	FL4
50대	FIFTS
5분당	PR5MI
5층	FL5
60분전	BEF60
61세이상	OV62
6층	FL6
7층	FL7
8층	FL8
9층	FL9
ACDM	ACDM
ACGPS	ACGPS
ACI	ACI
ADM	ADM
AFS	AFS
AIP	AIP
AOMS	AOMS
API	API
AREX	AREX
ARINC	ARINC
ARTS	ARTS
지상레이더	ASDE
ASFM	ASFM
ASM	ASM
ATA	ATA
ATFM	ATFM
ATIS	ATIS
ATOTO	ATOTO
ATS	ATS
AURI	AURI
AWOS	AWOS
BHS	BHS
BPP	BPP
BSM	BSM
CAS	CAS
CAT	CAT
CCTV	CCTV
CDM	CDM
CIQ	CIQ
CPU	CPU
CSDL	CSDL
CTC	CTC
DNA	DNA
DW	DW
EAI	EAI
EDS	EDS
EKG	EKG
EOBT1	EOBT1
EOBT3	EOBT3
EOD	EOD
FAQ	FAQ
FIMS	FIMS
FIR	FIR
FIS	FIS
FlightStat	FLTST
FOD	FOD
FOIS	FOIS
FTMS	FTMS
GAM	GAM
입출항보고서	GD
GDP	GDP
GIS	GIS
GPS	GPS
HTML	HTML
HVAC	HVAC
IATA	IATA
ICAO	ICAO
IDD	IDD
IDM	IDM
IP	IP
ISS	ISS
KPI	KPI
LCC	LCC
LLWAS	LLWAS
MAC	MAC
METREPORT	MTRPT
MO	MO
MQT	MQT
NOTAM	NOTAM
OOG	OOG
OTP	OTP
PAM	PAM
PCA	PCA
PDC	PDC
PDF	PDF
PG	PG
PM	PM
POS	POS
PSC	PSC
PWS	PWS
QNH	QNH
RCC	RCC
RFL	RFL
RLST	RLST
RSQ	RSQ
RTG	RTG
RVSM	RVSM
SEM	SEM
SFS	SFS
SID	SID
SIGMET	SIGMET
SITA	SITA
SKI	SKI
SLDT	SLDT
SMS	SMS
SQL	SQL
STAR	STAR
STEB	STEB
STOT	STOT
TCC	TCC
TDWR	TDWR
TF	TF
TMA	TMA
TOM	TOM
TRA	TRA
TRS	TRS
URL	URL
VOC	VOC
XTD	XTD
X좌표	XCRD
Y좌표	YCRD
가감	ADSB
가격	PRC
가구	HSHD
가능	PSBLTY
가능성	PSBLT
가동	OPRTNG
가로	WDTH
가맹점	FRCS
가변지상이동시간	VTT
가산	ADTN
가산세	ADDTX
가상	VR
가수금	SPRCP
가스	GAS
가시	VSBL
가압류	PRAT
가액	EQVL
가입	JOIN
가입자	SBSR
가족	FAM
가중치	WGVL
가지급	PRVPY
가치	WRTH
각도	ANGLE
각하	RJTN
간선시설	ATLFCS
간섭	INTFR
간접	IDRT
간접비	IDRCO
간행물	PBLC
간호사	NRS
감가상각률	DPRT
감가상각비	DPCO
감독	MNGT
감독자	SPVSR
감리	SPVS
감면	RDCT
감면율	RDCRT
감사	ADT
감소	DCRS
감액	RDAMT
감염	INFC
감점	SBPT
감정	APRS
감정가	APPRC
값	VL
강도	STRNT
강사	INSTR
강설	SNW
강수량	RN
강수확률	POR
강우	RAIN
강의	LCTR
강의실	LCTRM
강조	BLD
개발	DVLP
개발자	DVLPR
개방	OPN
개별	INDIV
개선	IMPV
개설	ESTBL
개수	TNF
개시	STRT
개업	OPBIZ
개요	OTLN
개월수	MCNT
개인	INDV
개인식별	PRIDTF
개인정보	PRVC
개점	OPSTR
개정	RVSN
개찰	BDOPN
개체	INDVD
개최	HDMT
개통	OPNG
객실	GSRM
객체	OBJT
갱신	UPDT
거래	DLNG
거래자	DLR
거래처	CNPT
거리	DSTN
거절	RFSL
거주	HAB
거주지	RSDC
거치	DFMT
거치연수	DFYRS
건강	HLTH
건강보험증	HIC
건물	BLDG
건물번호	BNO
건물본번	BMNO
건물부번	BSNO
건수	NOCS
건의	SGST
건축	ARCH
건축면적	BDAR
건축물	BDST
건축물대장	BDRG
건폐율	BDCVRT
검사	INSP
검사자	TSTR
검색	SRCH
검수	IGI
검수자	CHCKR
검정	RCGN
검증	VRFC
검진	CKUP
검침량	RMTQT
검토	RVW
검토자	RVWR
게시	PSTG
게시물	PST
게시자	PBLR
게시판	BBS
게이트	GATE
게이트웨이	GW
견인	TOW
견적	ESTMT
결과	RSLT
결산	SOA
결의	RSLTN
결재	ATRZ
결재선	APLN
결재자	APRVR
결정	DCSN
결제	STLM
결함	DFC
결항	CFLT
결혼	MRG
겸업	SDJB
겸용	CMBNAT
겸직	CCPS
경계	ALERT
경고	WRNG
경과	ELPS
경과연수	ELYRS
경기등록택시	GDRTX
경도	LOT
경력	CRR
경로	PATH
경매	AUCTN
경부하	LGTLD
경비	EPS
경영	MNGM
경유	VIA
경유지	STOVR
경작면적	CLTVAR
경제	ECNMY
경찰서	POLSTN
경합채권	CMPCLM
경항공기	LCRFT
계급	ECHLN
계량기	GAGE
계류장	APR
계류장관제탑	RMPTW
계산	CAL
계산서	BLL
조정출발시간	COBT
조정착륙시간	CLDT
계수	CFC
계약	CTRT
계약면적	CTRTAR
계약자	CTRTR
계정	ACNT
계정과목	ACNTL
계좌	BACNT
계좌번호	ACTNO
계좌이체	ACTRSF
계층	LYR
계획	PLAN
계획주기장출발시간	SOBT
고객	CUST
고도	ALTD
고도계	ALTR
고발	ACSTN
고속도로	HGHWY
고시	ANCMNT
고압	HGTNS
고엽제	DFLNT
고용	EPM
고용보험	EPIS
고용보험료	EPISPM
고유	UNQ
고유식별정보	UII
고장	BKDN
고정	FIX
고정비율	FARTO
고정익	FIXED
고지	INFRM
공간	SPCE
공간수	SPCNM
공개	RLS
공고	PBANC
공공기관	PBNST
공구	TOOL
공급	SPLY
공급가액	VLSPL
공급면적	SPLYAR
공급받는자	SPLRCP
공급자	SPLR
공동	JNT
공동명의	JNTNM
공동주택	APTCPX
공무원	PBOFC
공문	OFDOC
공부	OFBK
공부면적	PBRGAR
공사	CSTRN
공시	PBLNT
공시가	OFPRC
공시지가	OALP
공식	FML
공용	OFCBZ
공용면적	CMAR
공용시설	CMFCTY
공원	PARK
공유	SHRN
공인	OFAPV
공장	FCTRY
공적	CNTRB
공정	PROCS
공제	DDC
공지	NTC
공탁	DPOST
공통	COM
공포	PRMG
공표	OFANC
공항	ARPT
공항시설	APFCT
공항이용료	APTF
공휴일	LHLDY
과목	SBJCT
과세	TXTN
과세면적	TXAR
과세표준	TXBS
과오납금	OVPMNT
과정	CRS
과제	ASMT
과태료	FFNLG
과학기술인	SCEGNR
관계	REL
관계자	RLPR
관광	SGTSG
관광수지	IMTRP
관광시장	SGTMK
관광진흥개발기금	TPDF
관리	MNG
관리비	MNCO
관리월	MGTMN
관리자	MNGR
관리주체	MNATH
관서	GVMNFC
관세율	TRFRT
관심	ITRST
관심도	INTRS
관제	CTRL
관제권	CTRZ
관제사	CTRLR
관제소	CTRCT
관제탑	TWR
관측	OBSRVN
관측소	OBSVTR
관할	CMPTNC
광역시도	MCTPV
광주	GWNJU
교량	BRG
교부	DTBN
교신	CTCT
교육	EDU
교육과정	CRCLM
교육기관	EDNST
교육비	EDUCO
교육세	EDUTX
교육연수	EDTRN
교점	NODE
교정	CRRC
교통	TRFF
교통량	TRFV
교통비	TRNSCO
교통사고	TRFAC
교통센터	TFTCT
교통수단	MNTRP
교통장애	TRFFCONST
교환	EXCH
구간	SEC
구글캘린더API	GLCND
구글트렌드	GLTRD
구급	RELIF
구내	PRMS
구름	CLD
구매	PRCHS
구매자	PRCHR
구매처	PCPL
구분	SE
구상채권	RIDNT
구성	CPST
구역	ZONE
구우편번호	OZIP
구조	RSCE
구조물	STRTS
구조자	RSCER
구축	ETBL
국	TELOFC
국가	NTN
국가유공자	MNTMR
국가통계포털	KOSIS
국고보조금	GVSBS
국내	DOM
국내선	DMFLT
국문	KOR
국민	CTZN
국민연금	NPN
국적	NTNLTY
국제	INTL
국제선	NTFLT
국제표준도서번호	ISBN
국제표준연속간행물번호	ISSN
국지정시관측보고	METREPORT
국지특별관측보고	SPECIAL
국토부	MOLIT
군인	SLDR
권리	RGHT
권리자	RTHDR
권역	SAREA
권한	AUTHRT
귀빈	VIP
귀빈실	VPRM
귀소	HMG
귀속	BLN
귀항	RTA
규격	SPCFCT
규모	SCL
규정	RULE
규제	RGL
그룹	GROUP
그리드	GRID
근거	BSS
근로	LBR
근로소득	ERICM
근로자	WRKR
근무	WORK
근무연수	SVCYRS
근무일	WRKDY
근무지	POWK
근속	CNSVC
근속연수	CSYRS
근저당	FXCL
금리	IRT
금액	AMT
금요일	FRI
금융	FNNC
금융기관	FNST
금일	TDAY
급여	SLRY
급유	REFLNG
기간	PRD
기계	MCHN
기계식	MCNCL
기관	INST
기기	ISTR
기념일	ANVSR
기능	FWK
기능직	TCJB
기대	EXPT
기동지역	MAREA
기록	RCD
기록자	RCDR
기말잔액	EBLNC
기본	BSC
기본키	PK
기부	DNTN
기부금	AOD
기산	RCK
기상	WTHCN
기상경보	WTHWRN
기상공항예보	TAF
기상광학거리	MOR
기술	TECH
기술직	ENJB
기안	DRFT
기안자	DRFR
기업	ENT
기온	TMPRT
기울기	GRAD
기울임	IT
기원	ORGN
기장	CPT
기존	EXS
기종	ACTYP
기준	CRTR
기준면적	RFAR
기증	CNTRT
기증자	DNR
기초	BSCS
기초생활수급자	ROBL
기초잔액	OPBLNC
기타	ETC
기타공항	EARPT
기타항구	EHBER
기표	BLTG
기한	TERM
기한이익상실	TRGCLS
기호	SYMB
긴급	EMRG
길이	LEN
김포공항	GMP
김해공항	PUS
낙찰	SCSBD
낙찰률	SCBRT
낙찰자	SCBDR
난간	HDRL
날개	WING
날씨	WTHR
남자	MALE
남쪽	SOUTH
납기	DUDT
납부	PAY
납부자	RTPYR
납세자	TXPR
납품	DLVGDS
내국인	DOMPL
내부	INSD
내선	EXT
내역	DSCTN
내용	CN
내용연수	SVLF
내원	VSHSP
내진	ETRS
내항	INTNVG
냉각기	COOLR
너비	BT
널	NUL
년간	ANUL
년수	YRCNT
노무비	LBCO
노선	RTE
노임	WGS
노출	EXPSR
녹색제품	GPRDC
논리	LGC
논문	THSS
농가	FRMHS
농도	DNST
농어촌	FFV
높이	HGT
누리집	HMPG
누유	OLLEK
누적	ACML
뉴스	NEWS
다량	BULK
다운로드	DWNLD
다음	NEXT
단가	UNTPRC
단계	STEP
단기	SRTPD
단말기	TRMNL
단문	SHRTX
단속	CRDN
단어	WORD
단원	CHPT
단위	UNIT
단지	CMPX
단체	GRP
단축	SHRTN
달러	USD
담당	TKCG
담당자	PIC
담보	CLTR
답변	ANS
답변서	ANSDOC
답변자	ANSWR
답장	RPL
당기	THTM
당사자	CNCPR
당월	TSMM
당일	THDY
당좌예금	CKACNT
당직	ONDT
당첨	PRWN
대금	PYMT
대기	WTNG
대기압	ATM
대기업	LCO
대량	LQTY
대륙	CON
대리인	AGT
대만	TW
대변	CRSD
대분류	LCLSF
대비	VS
대상	TRGT
대상자	TRPR
대수	CNTOM
대양주	OCE
대여	RNTL
대역	BAND
대위변제	SBRG
대응	CRSP
대장	LDGR
대중소	LGMDS
대지면적	SIAR
대책	CTPN
대체	ALTNT
대출	LOAN
대표	RPRS
대표이사	CEO
대표자	RPRSV
대학교	UNIV
대학원	GDSCHL
대행	PRXY
대행사	AGNCY
댓글	CMNT
데이터베이스	DB
데이터수집	BDI
도로	ROAD
도메인	DMN
도면	FLRPLN
도서	BOOK
도서관	LIB
도시	CTY
도시수	TWNBR
도엽	MAPSHT
도움말	HLP
도입	INTR
도중하차	LAOVR
도착	ARR
도착지	DEST
도착편	ARVAC
돌풍	GUST
동거	CHBTN
동기	SMPRD
동기화	SYNC
동남아	SEASIA
동북아	NEASIA
동승	RDTGR
동영상	VDO
동의	AGRE
동의서	WTCS
동의어	SYNM
동편	EAST
동호회	CLUB
둥지	NST
등급	GRD
등기	RG
등기소	RGOFC
등기원인	RGCS
등록	REG
등록자	RGTR
딕셔너리	DCTNY
라벨	LBL
라인	LINE
래터럴	LTRL
랜드사이드	LNDSD
램프버스	RMPBS
량	QY
런업	RNUP
레벨	LVL
레이더	RADAR
레코드	RCRD
로그	LOG
로그아웃	LGT
로그인	LGN
리	LI
리딩	REDNG
리마크	REMK
리모트센서	RS
릴리즈	RELES
마감	DDLN
마스터	MSTR
마을	VLG
마일리지	MLG
마일스톤	MLST
마찰계수	SLPC
마찰계수A	SLPCA
마찰계수B	SLPCB
마찰계수C	SLPCC
막차	LSTCR
만기	MTRY
만료	EXPRY
만조	TIDE
만족도	DGSTFN
말소	ERSR
맞벌이	DLICM
매각	DSPSL
매도	SLL
매립지	RCMLND
매매	TRD
매설물	LFCLT
매수	BYNG
매수자	BYR
매시간	QUHR
매장	SHOP
매체	MEDIA
매출	SLS
매출원가율	COGSRT
매핑	MPNG
맵	MAP
맺음말	CNCLSN
먹이	FEED
메뉴	MENU
메모	MEMO
메소드	METHOD
메시지	MSG
면담	ITVW
면담자	ITVWR
면세	TAXFR
면세유	TXFOL
면적	AREA
면제	EXMPTN
면책	EXRS
면허	LCNS
명	NM
명령	CMD
명부	NMST
모니터	MONI
모니터링	MNTR
모델	MDL
